,0,1,2,3,4,5
0,23.18,27.272,426.0,721.25,0.00479298817650529,1.0
1,23.15,27.2675,429.5,714.0,0.00478344094931065,1.0
2,23.15,27.245,426.0,713.5,0.00477946352442199,1.0
3,23.15,27.2,426.0,708.25,0.00477150882608175,1.0
4,23.1,27.2,426.0,704.5,0.004756992933315179,1.0
5,23.1,27.2,419.0,701.0,0.004756992933315179,1.0
6,23.1,27.2,419.0,701.666666666667,0.004756992933315179,1.0
7,23.1,27.2,419.0,699.0,0.004756992933315179,1.0
8,23.1,27.2,419.0,689.333333333333,0.004756992933315179,1.0
9,23.075,27.175,419.0,688.0,0.00474535071966655,1.0
10,23.075,27.15,419.0,690.25,0.00474095189694268,1.0
11,23.1,27.1,419.0,691.0,0.00473937073052061,1.0
12,23.1,27.1666666666667,419.0,683.5,0.00475111875560951,1.0
13,23.05,27.15,419.0,687.5,0.0047337317970825,1.0
14,23.0,27.125,419.0,686.0,0.00471494214590473,1.0
15,23.0,27.125,418.5,680.5,0.00471494214590473,1.0
16,20.7,22.39,356.0,457.0,0.00337466557189241,1.0
17,20.7225,22.5,419.0,470.75,0.00339606511573662,1.0
18,20.73,22.5,419.0,472.0,0.00339764298252023,1.0
19,20.7225,22.525,419.0,470.5,0.0033998591468996,1.0
20,20.7675,22.65,411.0,478.0,0.0034283707603882697,1.0
21,20.79,22.79,411.0,492.0,0.00345448814144093,1.0
22,20.815,22.8675,411.0,497.75,0.00347166969308452,1.0
23,20.823333333333302,23.033333333333303,408.333333333333,499.0,0.0034987918481095897,1.0
24,20.815,23.025,400.0,507.0,0.00349571521582248,1.0
25,20.89,23.175,396.0,514.75,0.00353498716046155,1.0
26,20.89,23.29,396.0,515.0,0.00355262881880505,1.0
27,20.89,23.29,396.0,520.75,0.00355262881880505,1.0
28,20.89,23.29,396.0,526.0,0.00355262881880505,1.0
29,20.89,23.323333333333302,398.333333333333,527.0,0.0035577425289795603,1.0
30,20.945,23.39,399.5,531.25,0.0035801303266757103,1.0
31,20.963333333333303,23.463333333333303,413.0,536.0,0.0035954940794377397,1.0
32,21.0,23.5,411.0,542.75,0.00360931921720166,1.0
33,21.0,23.5,411.0,541.0,0.00360931921720166,1.0
34,21.0,23.5666666666667,411.0,548.5,0.00361961800587205,1.0
35,21.0,23.6,412.2,553.25,0.00362476752736239,1.0
36,21.0,23.6,405.0,559.25,0.00362476752736239,1.0
37,21.0,23.6,405.0,567.333333333333,0.00362476752736239,1.0
38,21.0,23.7,405.0,569.0,0.0036402166004790796,1.0
39,21.0,23.7,405.0,576.0,0.0036402166004790796,1.0
40,21.025,23.7225,405.0,578.75,0.0036493286704895296,1.0
41,21.025,23.7225,412.0,585.75,0.0036493286704895296,1.0
42,21.05,23.745,419.0,590.0,0.00365845928385946,1.0
43,21.025,23.7225,419.0,590.0,0.0036493286704895296,1.0
44,21.1,23.76,419.0,587.666666666667,0.00367211235503663,1.0
45,21.075,23.72,419.0,594.0,0.0036602355231557296,1.0
46,21.033333333333303,23.6666666666667,419.0,602.333333333333,0.0036425651983171,1.0
47,21.075,23.7675,419.0,611.0,0.0036676084723876205,1.0
48,21.1,23.79,419.0,611.333333333333,0.00367677626792028,1.0
49,21.1,23.79,419.0,613.0,0.00367677626792028,1.0
50,21.1,23.73,419.0,615.0,0.0036674485116838396,1.0
51,21.15,23.7225,419.0,615.75,0.0036776236802925203,1.0
52,21.2,23.745,419.0,620.5,0.00369251536345345,1.0
53,21.2,23.79,419.0,630.666666666667,0.00369955480346118,1.0
54,21.2,23.79,419.0,640.5,0.00369955480346118,1.0
55,21.26,23.856666666666698,423.666666666667,641.0,0.0037237495532429898,1.0
56,21.29,23.865,422.5,650.75,0.00373196021214811,1.0
57,21.29,23.89,419.0,651.0,0.00373589314251898,1.0
58,21.323333333333302,23.926666666666698,428.333333333333,654.666666666667,0.00374936387120372,1.0
59,21.29,24.0,424.6,664.25,0.0037531986235084204,1.0
60,21.34,24.0,426.0,675.4,0.0037647932275629704,1.0
61,21.29,24.05,429.5,675.0,0.00376106506766724,1.0
62,21.29,24.1,419.0,679.0,0.0037689317096092204,1.0
